file,size,iter,time,mem
testcases/ref_new/tree_sum.mls,28,5,14.09,27224
testcases/ref_new/nat_mul.mls,27,6,1.57,36264
testcases/ref_new/tree_height.mls,23,6,17.17,30872
testcases/ref_new/list_dropeven.mls,28,6,0.75,18584
testcases/ref_new/tree_notexist.mls,79,8,12.76,24324
testcases/ref_new/list_last2.mls,40,7,1.36,19048
testcases/ref_new/list_range.mls,49,7,0.68,29688
testcases/ref_new/expr.mls,36,9,8.28,39524
testcases/ref_new/tree_lastleft.mls,21,6,14.04,23460
testcases/ref_new/expr_sub.mls,51,12,103.64,52244
testcases/ref_new/tree_balanced.mls,0,0,120.01,36168
testcases/ref_new/expr_b.mls,59,13,74.27,67100
testcases/ref_new/nat_sub.mls,29,6,0.38,35284
testcases/ref_new/list_make.mls,14,3,0.04,16440
testcases/ref_new/expr_div.mls,0,0,120.02,70456
