file,size,iter,time,mem
testcases/basic/bool_always_false.mls,4,0,0.02,14212
testcases/basic/bool_always_true.mls,4,0,0.01,14180
testcases/basic/bool_band.mls,14,0,0.02,15808
testcases/basic/bool_bor.mls,14,0,0.02,15808
testcases/basic/bool_impl.mls,13,0,0.02,15824
testcases/basic/bool_neg.mls,8,0,0.01,14356
testcases/basic/bool_xor.mls,20,0,0.02,15812
testcases/basic/list_append.mls,44,0,0.05,19948
testcases/basic/list_compress.mls,56,0,0.14,17912
testcases/basic/list_concat.mls,19,0,0.07,17924
testcases/basic/list_drop.mls,31,0,0.03,20072
testcases/basic/list_even_parity.mls,25,0,0.03,16384
testcases/basic/list_filter.mls,47,0,0.03,16508
testcases/basic/list_fold.mls,41,0,0.18,17888
testcases/basic/list_hd.mls,10,0,0.02,16288
testcases/basic/list_inc.mls,18,0,0.03,16592
testcases/basic/list_last.mls,22,0,0.03,16628
testcases/basic/list_length.mls,13,0,0.02,15992
testcases/basic/list_map.mls,37,0,0.03,16788
testcases/basic/list_nth.mls,33,0,0.05,18716
testcases/basic/list_pairwise_swap.mls,38,0,0.04,16424
testcases/basic/list_rev_append.mls,22,0,0.33,17936
testcases/basic/list_rev_fold.mls,10,0,0.03,15836
testcases/basic/list_rev_snoc.mls,18,0,0.14,17980
testcases/basic/list_rev_tailcall.mls,37,0,0.03,16356
testcases/basic/list_snoc.mls,36,0,0.03,18160
testcases/basic/list_sort_sorted_insert.mls,18,0,0.10,18356
testcases/basic/list_sorted_insert.mls,60,0,0.19,21864
testcases/basic/list_stutter.mls,23,0,0.02,15956
testcases/basic/list_sum.mls,10,0,0.02,15816
testcases/basic/list_take.mls,38,0,0.03,17728
testcases/basic/list_tl.mls,9,0,0.02,15940
testcases/basic/nat_add.mls,22,0,0.09,35588
testcases/basic/nat_iseven.mls,16,0,0.02,15808
testcases/basic/nat_max.mls,23,0,0.16,38268
testcases/basic/nat_pred.mls,7,0,0.02,15804
testcases/basic/tree_binsert.mls,87,0,0.63,39228
testcases/basic/tree_collect_leaves.mls,27,0,0.07,17748
testcases/basic/tree_count_leaves.mls,22,0,0.08,17032
testcases/basic/tree_count_nodes.mls,22,0,0.18,29888
testcases/basic/tree_inorder.mls,27,0,0.14,20176
testcases/basic/tree_map.mls,49,0,0.06,20912
testcases/basic/tree_nodes_at_level.mls,47,0,1.68,24084
testcases/basic/tree_postorder.mls,32,0,0.49,32880
testcases/basic/tree_preorder.mls,27,0,0.12,20000
testcases/new/expr_b.mls,56,0,26.99,80092
testcases/new/expr.mls,34,0,31.78,47848
testcases/new/expr_sub.mls,0,0,120.01,114696
testcases/new/expr_div.mls,0,0,120.01,129820
testcases/new/list_dropeven.mls,28,0,0.03,16640
testcases/new/list_last2.mls,40,0,0.03,17700
testcases/new/list_make.mls,14,0,0.02,16412
testcases/new/list_range.mls,60,0,0.15,34052
testcases/new/nat_mul.mls,27,0,4.03,39612
testcases/new/nat_sub.mls,29,0,0.10,36004
testcases/new/tree_balanced.mls,0,0,120.04,712944
testcases/new/tree_height.mls,36,0,6.13,36140
testcases/new/tree_lastleft.mls,21,0,0.23,27728
testcases/new/tree_notexist.mls,79,0,0.40,25440
testcases/new/tree_sum.mls,28,0,0.59,36072
