file,size,iter,time,mem
testcases/basic/bool_always_false.mls,4,0,0.49,14196
testcases/basic/bool_always_true.mls,4,0,0.01,14180
testcases/basic/bool_band.mls,14,0,0.01,15820
testcases/basic/bool_bor.mls,14,0,0.02,15840
testcases/basic/bool_impl.mls,13,0,0.02,15856
testcases/basic/bool_neg.mls,8,0,0.02,14356
testcases/basic/bool_xor.mls,20,0,0.02,15824
testcases/basic/list_append.mls,44,0,0.06,19996
testcases/basic/list_compress.mls,56,0,0.17,17916
testcases/basic/list_concat.mls,19,0,0.07,17872
testcases/basic/list_drop.mls,31,0,0.04,20092
testcases/basic/list_even_parity.mls,25,0,0.03,16392
testcases/basic/list_filter.mls,47,0,0.04,16460
testcases/basic/list_fold.mls,41,0,0.18,17904
testcases/basic/list_hd.mls,10,0,0.02,16312
testcases/basic/list_inc.mls,18,0,0.04,16596
testcases/basic/list_last.mls,22,0,0.04,16628
testcases/basic/list_length.mls,13,0,0.04,16004
testcases/basic/list_map.mls,37,0,0.03,16812
testcases/basic/list_nth.mls,33,0,0.04,18656
testcases/basic/list_pairwise_swap.mls,38,0,0.03,16424
testcases/basic/list_rev_append.mls,22,0,0.33,17924
testcases/basic/list_rev_fold.mls,10,0,0.02,15832
testcases/basic/list_rev_snoc.mls,18,0,0.13,18008
testcases/basic/list_rev_tailcall.mls,37,0,0.03,16316
testcases/basic/list_snoc.mls,36,0,0.04,18212
testcases/basic/list_sort_sorted_insert.mls,18,0,0.12,18332
testcases/basic/list_sorted_insert.mls,60,0,0.15,21876
testcases/basic/list_stutter.mls,23,0,0.02,15956
testcases/basic/list_sum.mls,10,0,0.02,15816
testcases/basic/list_take.mls,38,0,0.03,17728
testcases/basic/list_tl.mls,9,0,0.02,15968
testcases/basic/nat_add.mls,22,0,0.11,35612
testcases/basic/nat_iseven.mls,16,0,0.02,15808
testcases/basic/nat_max.mls,23,0,0.20,38280
testcases/basic/nat_pred.mls,7,0,0.02,15840
testcases/basic/tree_binsert.mls,87,0,0.82,39292
testcases/basic/tree_collect_leaves.mls,27,0,0.08,17784
testcases/basic/tree_count_leaves.mls,22,0,0.08,17056
testcases/basic/tree_count_nodes.mls,22,0,0.23,29912
testcases/basic/tree_inorder.mls,27,0,0.16,20248
testcases/basic/tree_map.mls,49,0,0.07,20948
testcases/basic/tree_nodes_at_level.mls,47,0,1.99,24144
testcases/basic/tree_postorder.mls,32,0,0.56,32884
testcases/basic/tree_preorder.mls,27,0,0.12,20000
testcases/new/expr_b.mls,56,0,31.02,80160
testcases/new/expr.mls,34,0,35.12,47720
testcases/new/expr_sub.mls,0,0,120.01,114724
testcases/new/expr_div.mls,0,0,120.01,129828
testcases/new/list_dropeven.mls,28,0,0.04,16680
testcases/new/list_last2.mls,40,0,0.06,17724
testcases/new/list_make.mls,14,0,0.02,16412
testcases/new/list_range.mls,60,0,0.18,34088
testcases/new/nat_mul.mls,27,0,4.70,39528
testcases/new/nat_sub.mls,29,0,0.11,35992
testcases/new/tree_balanced.mls,0,0,120.04,712944
testcases/new/tree_height.mls,36,0,6.85,36140
testcases/new/tree_lastleft.mls,21,0,0.27,27728
testcases/new/tree_notexist.mls,79,0,0.48,25452
testcases/new/tree_sum.mls,28,0,0.70,36088
