file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.01,14256
testcases/ref/bool_always_true.mls,4,0,0.01,14124
testcases/ref/bool_band.mls,14,3,0.01,15916
testcases/ref/bool_bor.mls,14,3,0.01,15912
testcases/ref/bool_impl.mls,13,2,0.02,15520
testcases/ref/bool_neg.mls,8,2,0.02,14536
testcases/ref/bool_xor.mls,20,3,0.02,15920
testcases/ref/list_append.mls,31,6,0.37,19652
testcases/ref/list_compress.mls,56,10,0.96,19740
testcases/ref/list_concat.mls,19,5,0.93,20004
testcases/ref/list_drop.mls,31,5,0.34,19636
testcases/ref/list_even_parity.mls,25,5,0.10,17028
testcases/ref/list_filter.mls,56,8,0.71,19052
testcases/ref/list_fold.mls,42,6,0.68,19680
testcases/ref/list_hd.mls,10,2,0.17,18244
testcases/ref/list_inc.mls,18,4,0.37,18656
testcases/ref/list_last.mls,22,4,0.32,18420
testcases/ref/list_length.mls,13,4,0.29,18292
testcases/ref/list_map.mls,37,6,0.53,18776
testcases/ref/list_nth.mls,33,6,0.32,19664
testcases/ref/list_pairwise_swap.mls,38,7,0.33,18484
testcases/ref/list_rev_append.mls,22,5,0.78,19788
testcases/ref/list_rev_fold.mls,10,3,0.61,18756
testcases/ref/list_rev_snoc.mls,18,5,0.73,19472
testcases/ref/list_rev_tailcall.mls,120.01,39368
testcases/ref/list_snoc.mls,36,3,0.34,18128
testcases/ref/list_sort_sorted_insert.mls,18,6,1.30,20184
testcases/ref/list_sorted_insert.mls,60,6,0.72,19708
testcases/ref/list_stutter.mls,23,3,0.35,18772
testcases/ref/list_sum.mls,10,2,0.66,18704
testcases/ref/list_take.mls,38,8,0.31,19680
testcases/ref/list_tl.mls,9,2,0.18,18180
testcases/ref/nat_add.mls,22,5,0.12,28128
testcases/ref/nat_iseven.mls,16,4,0.01,15944
testcases/ref/nat_max.mls,23,5,0.23,36152
testcases/ref/nat_pred.mls,7,2,0.01,15904
testcases/ref/tree_binsert.mls,87,6,7.08,29028
testcases/ref/tree_collect_leaves.mls,27,4,5.33,18444
testcases/ref/tree_count_leaves.mls,22,4,5.30,17972
testcases/ref/tree_count_nodes.mls,22,4,5.34,17976
testcases/ref/tree_inorder.mls,27,4,7.61,19112
testcases/ref/tree_map.mls,49,6,5.49,23064
testcases/ref/tree_nodes_at_level.mls,47,7,4.10,21080
testcases/ref/tree_postorder.mls,32,6,8.30,21144
testcases/ref/tree_preorder.mls,27,6,8.08,21180
testcases/ref_new/expr_b.mls,1.10,42804
testcases/ref_new/expr.mls,0.27,39048
testcases/ref_new/expr_sub.mls,0.90,42216
testcases/ref_new/expr_div.mls,2.67,47380
testcases/ref_new/list_dropeven.mls,28,6,0.33,18536
testcases/ref_new/list_last2.mls,40,7,0.49,18824
testcases/ref_new/list_make.mls,14,3,0.02,16356
testcases/ref_new/list_range.mls,49,7,0.30,29872
testcases/ref_new/nat_mul.mls,27,6,0.75,36180
testcases/ref_new/nat_sub.mls,29,6,0.20,35220
testcases/ref_new/tree_balanced.mls,25,4,8.52,19744
testcases/ref_new/tree_height.mls,23,6,8.56,30160
testcases/ref_new/tree_lastleft.mls,21,6,7.14,23444
testcases/ref_new/tree_notexist.mls,79,8,6.30,23044
testcases/ref_new/tree_sum.mls,28,5,8.09,27112
file,size,iter,time,mem
