file,size,iter,time,mem
testcases/ref_new/expr_b.mls,0,0,120.01,126432
testcases/ref_new/expr.mls,36,13,36.38,47612
testcases/ref_new/expr_sub.mls,0,0,120.01,108280
testcases/ref_new/expr_div.mls,0,0,120.01,102388
testcases/ref_new/list_dropeven.mls,28,6,0.37,18528
testcases/ref_new/list_last2.mls,40,7,0.58,19024
testcases/ref_new/list_make.mls,14,3,0.02,16388
testcases/ref_new/list_range.mls,60,7,0.33,29060
testcases/ref_new/nat_mul.mls,27,6,1.28,36408
testcases/ref_new/nat_sub.mls,29,6,0.22,35236
testcases/ref_new/tree_balanced.mls,0,0,120,20400
testcases/ref_new/tree_height.mls,23,6,9.40,31152
testcases/ref_new/tree_lastleft.mls,21,6,8.97,23448
testcases/ref_new/tree_notexist.mls,79,8,8.00,23120
testcases/ref_new/tree_sum.mls,28,5,9.70,27252
