file,size,iter,time,mem
testcases/ref_new/expr_b.mls,0,0,120.01,165368
testcases/ref_new/expr.mls,0,0,120.01,64200
testcases/ref_new/expr_sub.mls,0,0,120.02,128248
testcases/ref_new/expr_div.mls,0,0,119.76,237776
testcases/ref_new/list_dropeven.mls,28,6,0.42,18584
testcases/ref_new/list_last2.mls,40,7,0.63,18968
testcases/ref_new/list_make.mls,14,3,0.02,16392
testcases/ref_new/list_range.mls,60,7,0.92,29076
testcases/ref_new/nat_mul.mls,27,6,1.36,36424
testcases/ref_new/nat_sub.mls,29,6,0.26,35268
testcases/ref_new/tree_balanced.mls,0,0,120,22068
testcases/ref_new/tree_height.mls,23,6,9.85,31200
testcases/ref_new/tree_lastleft.mls,21,6,9.27,24244
testcases/ref_new/tree_notexist.mls,0,0,120.00,25520
testcases/ref_new/tree_sum.mls,28,5,10.14,27228
