file,size,iter,time,mem
testcases/basic/bool_always_false.mls,4,0,0.02,14196
testcases/basic/bool_always_true.mls,4,0,0.02,14192
testcases/basic/bool_band.mls,14,0,0.02,15820
testcases/basic/bool_bor.mls,14,0,0.02,15820
testcases/basic/bool_impl.mls,13,0,0.02,15808
testcases/basic/bool_neg.mls,8,0,0.01,14356
testcases/basic/bool_xor.mls,20,0,0.02,15824
testcases/basic/list_append.mls,44,0,0.04,19948
testcases/basic/list_compress.mls,56,0,0.12,17892
testcases/basic/list_concat.mls,19,0,0.04,17792
testcases/basic/list_drop.mls,31,0,0.03,20088
testcases/basic/list_even_parity.mls,25,0,0.02,16380
testcases/basic/list_filter.mls,47,0,0.03,16440
testcases/basic/list_fold.mls,41,0,0.07,17508
testcases/basic/list_hd.mls,10,0,0.02,16300
testcases/basic/list_inc.mls,18,0,0.03,16580
testcases/basic/list_last.mls,22,0,0.03,16604
testcases/basic/list_length.mls,13,0,0.02,15968
testcases/basic/list_map.mls,37,0,0.03,16788
testcases/basic/list_nth.mls,33,0,0.04,18644
testcases/basic/list_pairwise_swap.mls,38,0,0.03,16412
testcases/basic/list_rev_append.mls,35,0,0.08,17860
testcases/basic/list_rev_fold.mls,10,0,0.02,15812
testcases/basic/list_rev_snoc.mls,18,0,0.04,17752
testcases/basic/list_rev_tailcall.mls,37,0,0.02,16356
testcases/basic/list_snoc.mls,36,0,0.03,18172
testcases/basic/list_sort_sorted_insert.mls,18,0,0.04,18152
testcases/basic/list_sorted_insert.mls,60,0,0.13,21844
testcases/basic/list_stutter.mls,23,0,0.02,15944
testcases/basic/list_sum.mls,10,0,0.02,15816
testcases/basic/list_take.mls,38,0,0.03,17716
testcases/basic/list_tl.mls,9,0,0.02,15940
testcases/basic/nat_add.mls,22,0,0.09,35588
testcases/basic/nat_iseven.mls,16,0,0.02,15808
testcases/basic/nat_max.mls,23,0,0.16,38268
testcases/basic/nat_pred.mls,7,0,0.02,15816
testcases/basic/tree_binsert.mls,87,0,0.62,39264
testcases/basic/tree_collect_leaves.mls,27,0,0.07,17640
testcases/basic/tree_count_leaves.mls,22,0,0.06,17008
testcases/basic/tree_count_nodes.mls,22,0,0.18,30560
testcases/basic/tree_inorder.mls,27,0,0.12,20184
testcases/basic/tree_map.mls,49,0,0.06,20924
testcases/basic/tree_nodes_at_level.mls,47,0,0.32,24084
testcases/basic/tree_postorder.mls,32,0,0.44,32672
testcases/basic/tree_preorder.mls,27,0,0.12,20104
testcases/new/expr_b.mls,59,0,16.77,69456
testcases/new/expr.mls,36,0,0.79,39176
testcases/new/expr_sub.mls,51,0,15.67,47364
testcases/new/expr_div.mls,0,0,120.00,113484
testcases/new/list_dropeven.mls,28,0,0.03,16652
testcases/new/list_last2.mls,40,0,0.03,17700
testcases/new/list_make.mls,14,0,0.02,16424
testcases/new/list_range.mls,60,0,0.17,34040
testcases/new/nat_mul.mls,27,0,1.14,39292
testcases/new/nat_sub.mls,29,0,0.10,35980
testcases/new/tree_balanced.mls,0,0,120.22,3297784
testcases/new/tree_height.mls,36,0,5.29,36164
testcases/new/tree_lastleft.mls,21,0,0.28,27752
testcases/new/tree_notexist.mls,79,0,0.49,25508
testcases/new/tree_sum.mls,28,0,0.55,36104
