file,size,iter,time,mem
testcases/basic/bool_always_false.mls,4,0,0.01,14196
testcases/basic/bool_always_true.mls,4,0,0.01,14180
testcases/basic/bool_band.mls,14,0,0.02,15832
testcases/basic/bool_bor.mls,14,0,0.02,15836
testcases/basic/bool_impl.mls,13,0,0.02,15872
testcases/basic/bool_neg.mls,8,0,0.02,14400
testcases/basic/bool_xor.mls,20,0,0.02,15824
testcases/basic/list_append.mls,44,0,0.05,19988
testcases/basic/list_compress.mls,56,0,0.12,17892
testcases/basic/list_concat.mls,19,0,0.07,17872
testcases/basic/list_drop.mls,31,0,0.04,20088
testcases/basic/list_even_parity.mls,25,0,0.02,16372
testcases/basic/list_filter.mls,47,0,0.03,16464
testcases/basic/list_fold.mls,41,0,0.16,17896
testcases/basic/list_hd.mls,10,0,0.02,16300
testcases/basic/list_inc.mls,18,0,0.03,16596
testcases/basic/list_last.mls,22,0,0.03,16604
testcases/basic/list_length.mls,13,0,0.02,15980
testcases/basic/list_map.mls,37,0,0.03,16788
testcases/basic/list_nth.mls,33,0,0.04,18668
testcases/basic/list_pairwise_swap.mls,38,0,0.03,16440
testcases/basic/list_rev_append.mls,22,0,0.31,17916
testcases/basic/list_rev_fold.mls,10,0,0.02,15812
testcases/basic/list_rev_snoc.mls,18,0,0.11,17980
testcases/basic/list_rev_tailcall.mls,37,0,0.03,16332
testcases/basic/list_snoc.mls,36,0,0.04,18172
testcases/basic/list_sort_sorted_insert.mls,18,0,0.11,18356
testcases/basic/list_sorted_insert.mls,60,0,0.19,21876
testcases/basic/list_stutter.mls,23,0,0.03,15996
testcases/basic/list_sum.mls,10,0,0.02,15864
testcases/basic/list_take.mls,38,0,0.04,17728
testcases/basic/list_tl.mls,9,0,0.03,16016
testcases/basic/nat_add.mls,22,0,0.14,35620
testcases/basic/nat_iseven.mls,16,0,0.02,15836
testcases/basic/nat_max.mls,23,0,0.20,38300
testcases/basic/nat_pred.mls,7,0,0.02,15804
testcases/basic/tree_binsert.mls,87,0,0.77,39284
testcases/basic/tree_collect_leaves.mls,27,0,0.08,17788
testcases/basic/tree_count_leaves.mls,22,0,0.07,17056
testcases/basic/tree_count_nodes.mls,22,0,0.20,29924
testcases/basic/tree_inorder.mls,27,0,0.14,20188
testcases/basic/tree_map.mls,49,0,0.07,20964
testcases/basic/tree_nodes_at_level.mls,47,0,1.90,24108
testcases/basic/tree_postorder.mls,32,0,0.47,32872
testcases/basic/tree_preorder.mls,27,0,0.12,19988
testcases/new/expr_b.mls,56,0,29.60,80096
testcases/new/expr.mls,34,0,33.67,47848
testcases/new/expr_sub.mls,0,0,120.01,114580
testcases/new/expr_div.mls,0,0,120.01,129832
testcases/new/list_dropeven.mls,28,0,0.03,16652
testcases/new/list_last2.mls,40,0,0.03,17688
testcases/new/list_make.mls,14,0,0.02,16412
testcases/new/list_range.mls,60,0,0.14,34052
testcases/new/nat_mul.mls,27,0,3.76,39572
testcases/new/nat_sub.mls,29,0,0.09,35992
testcases/new/tree_balanced.mls,0,0,120.04,712944
testcases/new/tree_height.mls,36,0,6.71,36124
testcases/new/tree_lastleft.mls,21,0,0.28,27728
testcases/new/tree_notexist.mls,79,0,0.44,25452
testcases/new/tree_sum.mls,28,0,0.60,36088
