file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.02,14280
testcases/ref/bool_always_true.mls,4,0,0.01,14128
testcases/ref/bool_band.mls,14,3,0.02,15956
testcases/ref/bool_bor.mls,14,3,0.02,15928
testcases/ref/bool_impl.mls,13,2,0.02,15552
testcases/ref/bool_neg.mls,8,2,0.01,14504
testcases/ref/bool_xor.mls,20,3,0.02,15940
testcases/ref/list_append.mls,31,6,0.42,19720
testcases/ref/list_compress.mls,56,10,0.91,19788
testcases/ref/list_concat.mls,19,5,0.95,19156
testcases/ref/list_drop.mls,31,5,0.41,19680
testcases/ref/list_even_parity.mls,25,5,0.13,17080
testcases/ref/list_filter.mls,56,8,0.98,19160
testcases/ref/list_fold.mls,42,6,0.91,19708
testcases/ref/list_hd.mls,10,2,0.21,18260
testcases/ref/list_inc.mls,18,4,0.46,18660
testcases/ref/list_last.mls,22,4,0.43,18408
testcases/ref/list_length.mls,13,4,0.37,18432
testcases/ref/list_map.mls,37,6,0.70,19100
testcases/ref/list_nth.mls,33,6,0.43,19664
testcases/ref/list_pairwise_swap.mls,38,7,0.44,18812
testcases/ref/list_rev_append.mls,22,5,0.99,19584
testcases/ref/list_rev_fold.mls,10,3,0.82,18748
testcases/ref/list_rev_snoc.mls,18,5,1.02,19444
testcases/ref/list_rev_tailcall.mls,0,0,120.12,1982952
testcases/ref/list_snoc.mls,36,3,0.35,18048
testcases/ref/list_sort_sorted_insert.mls,18,6,1.34,20196
testcases/ref/list_sorted_insert.mls,60,6,0.71,19684
testcases/ref/list_stutter.mls,23,3,0.33,18788
testcases/ref/list_sum.mls,10,2,0.72,18704
testcases/ref/list_take.mls,38,8,0.32,19652
testcases/ref/list_tl.mls,9,2,0.18,18324
testcases/ref/nat_add.mls,22,5,0.13,28148
testcases/ref/nat_iseven.mls,16,4,0.02,15940
testcases/ref/nat_max.mls,23,5,0.23,36152
testcases/ref/nat_pred.mls,7,2,0.02,15904
testcases/ref/tree_binsert.mls,87,6,7.48,29028
testcases/ref/tree_collect_leaves.mls,27,4,7.07,18488
testcases/ref/tree_count_leaves.mls,22,4,6.06,18004
testcases/ref/tree_count_nodes.mls,22,4,6.42,18020
testcases/ref/tree_inorder.mls,27,4,9.88,19148
testcases/ref/tree_map.mls,49,6,7.42,23116
testcases/ref/tree_nodes_at_level.mls,47,7,4.70,20324
testcases/ref/tree_postorder.mls,32,6,10.22,21216
testcases/ref/tree_preorder.mls,27,6,8.74,21224
testcases/ref_new/expr_b.mls,59,13,59.15,71184
testcases/ref_new/expr.mls,36,9,5.70,39472
testcases/ref_new/expr_sub.mls,51,12,73.17,57820
testcases/ref_new/expr_div.mls,0,0,120.00,77352
testcases/ref_new/list_dropeven.mls,28,6,0.49,18540
testcases/ref_new/list_last2.mls,40,7,0.67,19028
testcases/ref_new/list_make.mls,14,3,0.03,16388
testcases/ref_new/list_range.mls,60,7,0.50,29136
testcases/ref_new/nat_mul.mls,27,6,0.93,36276
testcases/ref_new/nat_sub.mls,29,6,0.26,35268
testcases/ref_new/tree_balanced.mls,0,0,120,20432
testcases/ref_new/tree_height.mls,23,6,11.36,30856
testcases/ref_new/tree_lastleft.mls,21,6,8.80,23448
testcases/ref_new/tree_notexist.mls,79,8,6.93,24260
testcases/ref_new/tree_sum.mls,28,5,8.21,27176
