file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.50,14268
testcases/ref/bool_always_true.mls,4,0,0.01,14116
testcases/ref/bool_band.mls,14,3,0.02,15944
testcases/ref/bool_bor.mls,14,3,0.02,15944
testcases/ref/bool_impl.mls,13,2,0.02,15540
testcases/ref/bool_neg.mls,8,2,0.01,14516
testcases/ref/bool_xor.mls,20,3,0.02,15928
testcases/ref/list_append.mls,31,6,0.44,19724
testcases/ref/list_compress.mls,56,10,1.59,19828
testcases/ref/list_concat.mls,19,5,1.32,19216
testcases/ref/list_drop.mls,31,5,0.60,19720
testcases/ref/list_even_parity.mls,25,5,0.14,17036
testcases/ref/list_filter.mls,56,8,0.91,19100
testcases/ref/list_fold.mls,42,6,0.99,19708
testcases/ref/list_hd.mls,10,2,0.22,18300
testcases/ref/list_inc.mls,18,4,0.50,18660
testcases/ref/list_last.mls,22,4,0.38,18344
testcases/ref/list_length.mls,13,4,0.29,18420
testcases/ref/list_map.mls,37,6,0.73,19084
testcases/ref/list_nth.mls,33,6,0.44,19676
testcases/ref/list_pairwise_swap.mls,38,7,0.45,18552
testcases/ref/list_rev_append.mls,22,5,1.10,19624
testcases/ref/list_rev_fold.mls,10,3,0.84,18728
testcases/ref/list_rev_snoc.mls,18,5,1.06,19452
testcases/ref/list_rev_tailcall.mls,0,0,120.23,64044
testcases/ref/list_snoc.mls,36,3,0.48,18060
testcases/ref/list_sort_sorted_insert.mls,18,6,1.56,20216
testcases/ref/list_sorted_insert.mls,60,6,0.89,19716
testcases/ref/list_stutter.mls,23,3,0.37,18796
testcases/ref/list_sum.mls,10,2,0.88,18704
testcases/ref/list_take.mls,38,8,0.39,19676
testcases/ref/list_tl.mls,9,2,0.21,18332
testcases/ref/nat_add.mls,22,5,0.14,28152
testcases/ref/nat_iseven.mls,16,4,0.02,15964
testcases/ref/nat_max.mls,23,5,0.24,36188
testcases/ref/nat_pred.mls,7,2,0.02,15928
testcases/ref/tree_binsert.mls,87,6,14.49,29992
testcases/ref/tree_collect_leaves.mls,27,4,5.96,18464
testcases/ref/tree_count_leaves.mls,22,4,6.11,18004
testcases/ref/tree_count_nodes.mls,22,4,7.10,17972
testcases/ref/tree_inorder.mls,27,4,9.17,19132
testcases/ref/tree_map.mls,49,6,6.52,23104
testcases/ref/tree_nodes_at_level.mls,47,7,4.91,20356
testcases/ref/tree_postorder.mls,32,6,12.01,21208
testcases/ref/tree_preorder.mls,27,6,9.57,21172
testcases/ref_new/expr_b.mls,0,0,120.02,242536
testcases/ref_new/expr.mls,36,9,13.99,39416
testcases/ref_new/expr_sub.mls,0,0,120.01,80168
testcases/ref_new/expr_div.mls,0,0,120.02,121844
testcases/ref_new/list_dropeven.mls,28,6,0.43,18568
testcases/ref_new/list_last2.mls,40,7,0.78,18956
testcases/ref_new/list_make.mls,14,3,0.02,16376
testcases/ref_new/list_range.mls,60,7,1.09,29112
testcases/ref_new/nat_mul.mls,27,6,1.29,36288
testcases/ref_new/nat_sub.mls,29,6,0.25,35260
testcases/ref_new/tree_balanced.mls,0,0,120,22068
testcases/ref_new/tree_height.mls,23,6,8.93,30808
testcases/ref_new/tree_lastleft.mls,21,6,8.26,24224
testcases/ref_new/tree_notexist.mls,0,0,120.02,29008
testcases/ref_new/tree_sum.mls,28,5,8.97,27212
