file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.54,14256
testcases/ref/bool_always_true.mls,4,0,0.02,14188
testcases/ref/bool_band.mls,14,3,0.02,15932
testcases/ref/bool_bor.mls,14,3,0.02,15928
testcases/ref/bool_impl.mls,13,2,0.01,15540
testcases/ref/bool_neg.mls,8,2,0.01,14520
testcases/ref/bool_xor.mls,20,3,0.02,15928
testcases/ref/list_append.mls,31,6,0.41,19708
testcases/ref/list_compress.mls,56,10,1.04,19696
testcases/ref/list_concat.mls,19,5,1.16,20232
testcases/ref/list_drop.mls,31,5,0.36,19672
testcases/ref/list_even_parity.mls,25,5,0.16,17008
testcases/ref/list_filter.mls,56,8,0.99,19184
testcases/ref/list_fold.mls,42,6,1.03,20348
testcases/ref/list_hd.mls,10,2,0.21,18244
testcases/ref/list_inc.mls,18,4,0.43,18656
testcases/ref/list_last.mls,22,4,0.37,18344
testcases/ref/list_length.mls,13,4,0.35,18376
testcases/ref/list_map.mls,37,6,0.71,19080
testcases/ref/list_nth.mls,33,6,0.39,19664
testcases/ref/list_pairwise_swap.mls,38,7,0.41,18768
testcases/ref/list_rev_append.mls,22,5,1.63,19820
testcases/ref/list_rev_fold.mls,10,3,0.71,18712
testcases/ref/list_rev_snoc.mls,18,5,1.02,19764
testcases/ref/list_rev_tailcall.mls,0,0,120.09,1844696
testcases/ref/list_snoc.mls,36,3,0.38,18048
testcases/ref/list_sort_sorted_insert.mls,18,6,1.85,19824
testcases/ref/list_sorted_insert.mls,60,6,0.85,19708
testcases/ref/list_stutter.mls,23,3,0.37,18776
testcases/ref/list_sum.mls,10,2,0.78,18680
testcases/ref/list_take.mls,38,8,0.32,19652
testcases/ref/list_tl.mls,9,2,0.16,18324
testcases/ref/nat_add.mls,22,5,0.11,28128
testcases/ref/nat_iseven.mls,16,4,0.02,15940
testcases/ref/nat_max.mls,23,5,0.24,36176
testcases/ref/nat_pred.mls,7,2,0.02,15904
testcases/ref/tree_binsert.mls,87,6,7.08,29004
testcases/ref/tree_collect_leaves.mls,27,4,6.16,17968
testcases/ref/tree_count_leaves.mls,22,4,6.55,17968
testcases/ref/tree_count_nodes.mls,22,4,6.16,17976
testcases/ref/tree_inorder.mls,27,4,8.90,19164
testcases/ref/tree_map.mls,49,6,6.76,23048
testcases/ref/tree_nodes_at_level.mls,47,7,5.30,21124
testcases/ref/tree_postorder.mls,32,6,10.22,21184
testcases/ref/tree_preorder.mls,27,6,9.98,21180
testcases/ref_new/expr_b.mls,0,0,120.01,126432
testcases/ref_new/expr.mls,36,13,36.38,47612
testcases/ref_new/expr_sub.mls,0,0,120.01,108280
testcases/ref_new/expr_div.mls,0,0,120.01,102388
testcases/ref_new/list_dropeven.mls,28,6,0.37,18528
testcases/ref_new/list_last2.mls,40,7,0.58,19024
testcases/ref_new/list_make.mls,14,3,0.02,16388
testcases/ref_new/list_range.mls,60,7,0.33,29060
testcases/ref_new/nat_mul.mls,27,6,1.28,36408
testcases/ref_new/nat_sub.mls,29,6,0.22,35236
testcases/ref_new/tree_balanced.mls,0,0,120,20400
testcases/ref_new/tree_height.mls,23,6,9.40,31152
testcases/ref_new/tree_lastleft.mls,21,6,8.97,23448
testcases/ref_new/tree_notexist.mls,79,8,8.00,23120
testcases/ref_new/tree_sum.mls,28,5,9.70,27252
