file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.45,14256
testcases/ref/bool_always_true.mls,4,0,0.01,14116
testcases/ref/bool_band.mls,14,3,0.01,15920
testcases/ref/bool_bor.mls,14,3,0.02,15932
testcases/ref/bool_impl.mls,13,2,0.01,15528
testcases/ref/bool_neg.mls,8,2,0.01,14516
testcases/ref/bool_xor.mls,20,3,0.01,15928
testcases/ref/list_append.mls,31,6,0.38,19696
testcases/ref/list_compress.mls,56,10,1.41,19808
testcases/ref/list_concat.mls,19,5,0.97,20180
testcases/ref/list_drop.mls,31,5,0.33,19648
testcases/ref/list_even_parity.mls,25,5,0.10,17040
testcases/ref/list_filter.mls,56,8,0.72,19060
testcases/ref/list_fold.mls,42,6,0.92,20320
testcases/ref/list_hd.mls,10,2,0.18,18232
testcases/ref/list_inc.mls,18,4,0.34,18632
testcases/ref/list_last.mls,22,4,0.30,18344
testcases/ref/list_length.mls,13,4,0.28,18388
testcases/ref/list_map.mls,37,6,0.56,19044
testcases/ref/list_nth.mls,33,6,0.32,19664
testcases/ref/list_pairwise_swap.mls,38,7,0.36,18484
testcases/ref/list_rev_append.mls,22,5,1.34,19792
testcases/ref/list_rev_fold.mls,10,3,0.62,18700
testcases/ref/list_rev_snoc.mls,18,5,0.86,19736
testcases/ref/list_rev_tailcall.mls,0,0,120.01,80192
testcases/ref/list_snoc.mls,36,3,0.36,18048
testcases/ref/list_sort_sorted_insert.mls,18,6,1.50,19784
testcases/ref/list_sorted_insert.mls,60,6,0.79,19660
testcases/ref/list_stutter.mls,23,3,0.34,18784
testcases/ref/list_sum.mls,10,2,0.72,18692
testcases/ref/list_take.mls,38,8,0.31,19652
testcases/ref/list_tl.mls,9,2,0.18,18316
testcases/ref/nat_add.mls,22,5,0.13,28152
testcases/ref/nat_iseven.mls,16,4,0.02,15940
testcases/ref/nat_max.mls,23,5,0.23,36164
testcases/ref/nat_pred.mls,7,2,0.01,15904
testcases/ref/tree_binsert.mls,87,6,14.92,29992
testcases/ref/tree_collect_leaves.mls,27,4,6.46,18016
testcases/ref/tree_count_leaves.mls,22,4,6.62,17980
testcases/ref/tree_count_nodes.mls,22,4,6.92,17976
testcases/ref/tree_inorder.mls,27,4,9.79,19132
testcases/ref/tree_map.mls,49,6,7.14,23104
testcases/ref/tree_nodes_at_level.mls,47,7,5.55,21112
testcases/ref/tree_postorder.mls,32,6,10.65,21240
testcases/ref/tree_preorder.mls,27,6,10.39,21200
testcases/ref_new/expr_b.mls,0,0,120.01,165368
testcases/ref_new/expr.mls,0,0,120.01,64200
testcases/ref_new/expr_sub.mls,0,0,120.02,128248
testcases/ref_new/expr_div.mls,0,0,119.76,237776
testcases/ref_new/list_dropeven.mls,28,6,0.42,18584
testcases/ref_new/list_last2.mls,40,7,0.63,18968
testcases/ref_new/list_make.mls,14,3,0.02,16392
testcases/ref_new/list_range.mls,60,7,0.92,29076
testcases/ref_new/nat_mul.mls,27,6,1.36,36424
testcases/ref_new/nat_sub.mls,29,6,0.26,35268
testcases/ref_new/tree_balanced.mls,0,0,120,22068
testcases/ref_new/tree_height.mls,23,6,9.85,31200
testcases/ref_new/tree_lastleft.mls,21,6,9.27,24244
testcases/ref_new/tree_notexist.mls,0,0,120.00,25520
testcases/ref_new/tree_sum.mls,28,5,10.14,27228
