file,size,iter,time,mem
testcases/ref_example/bool_always_false.mls,4,0,0.01,14236
testcases/ref_example/bool_always_true.mls,4,0,0.01,14232
testcases/ref_example/bool_band.mls,14,0,0.02,15908
testcases/ref_example/bool_bor.mls,14,0,0.02,15888
testcases/ref_example/bool_impl.mls,13,0,0.02,15900
testcases/ref_example/bool_neg.mls,8,0,0.01,14428
testcases/ref_example/bool_xor.mls,20,1,0.02,15916
testcases/ref_example/list_append.mls,31,1,0.37,22020
testcases/ref_example/list_compress.mls,56,8,1.47,19992
testcases/ref_example/list_concat.mls,19,1,0.98,19552
testcases/ref_example/list_drop.mls,31,0,0.31,20364
testcases/ref_example/list_even_parity.mls,25,0,0.08,16660
testcases/ref_example/list_filter.mls,56,5,1.26,22036
testcases/ref_example/list_fold.mls,42,5,3.94,36300
testcases/ref_example/list_hd.mls,10,0,0.16,18068
testcases/ref_example/list_inc.mls,18,0,0.35,18680
testcases/ref_example/list_last.mls,22,0,0.30,18492
testcases/ref_example/list_length.mls,13,0,0.30,18556
testcases/ref_example/list_map.mls,37,0,0.49,18780
testcases/ref_example/list_nth.mls,33,0,0.30,19064
testcases/ref_example/list_pairwise_swap.mls,15.20,29100
testcases/ref_example/list_rev_append.mls,22,2,0.99,19692
testcases/ref_example/list_rev_fold.mls,10,0,0.60,18760
testcases/ref_example/list_rev_snoc.mls,18,0,0.72,19476
testcases/ref_example/list_rev_tailcall.mls,120.00,61956
testcases/ref_example/list_snoc.mls,36,0,0.33,18528
testcases/ref_example/list_sort_sorted_insert.mls,18,0,1.16,19736
testcases/ref_example/list_sorted_insert.mls,60,0,0.65,22012
testcases/ref_example/list_stutter.mls,23,0,0.33,18496
testcases/ref_example/list_sum.mls,10,0,0.65,18700
testcases/ref_example/list_take.mls,38,0,0.28,18036
testcases/ref_example/list_tl.mls,9,0,0.17,18268
testcases/ref_example/nat_add.mls,22,0,0.11,35696
testcases/ref_example/nat_iseven.mls,16,0,0.01,15912
testcases/ref_example/nat_max.mls,23,0,0.18,36164
testcases/ref_example/nat_pred.mls,7,0,0.01,15900
testcases/ref_example/tree_binsert.mls,87,5,7.04,31176
testcases/ref_example/tree_collect_leaves.mls,27,0,5.36,17952
testcases/ref_example/tree_count_leaves.mls,22,0,5.42,17968
testcases/ref_example/tree_count_nodes.mls,22,0,7.59,30936
testcases/ref_example/tree_inorder.mls,27,0,7.57,20384
testcases/ref_example/tree_map.mls,49,0,5.32,21100
testcases/ref_example/tree_nodes_at_level.mls,47,0,4.30,25544
testcases/ref_example/tree_postorder.mls,32,0,8.02,31168
testcases/ref_example/tree_preorder.mls,27,0,7.82,20364
testcases/ref_example_new/expr_b.mls,59,7,106.40,150444
testcases/ref_example_new/expr.mls,36,1,2.84,39464
testcases/ref_example_new/expr_sub.mls,51,2,49.80,71356
testcases/ref_example_new/expr_div.mls,120.01,96044
testcases/ref_example_new/list_dropeven.mls,28,1,0.35,18408
testcases/ref_example_new/list_last2.mls,40,0,0.53,19076
testcases/ref_example_new/list_make.mls,14,0,0.02,16568
testcases/ref_example_new/list_range.mls,49,1,0.49,35524
testcases/ref_example_new/nat_mul.mls,27,0,1.56,39460
testcases/ref_example_new/nat_sub.mls,29,0,0.13,36160
testcases/ref_example_new/tree_balanced.mls,25,0,12.68,38428
testcases/ref_example_new/tree_height.mls,23,4,9.88,31188
testcases/ref_example_new/tree_lastleft.mls,21,0,7.75,29844
