file,size,iter,time,mem
testcases/ref_new/expr_b.mls,0,0,120.02,242536
testcases/ref_new/expr.mls,36,9,13.99,39416
testcases/ref_new/expr_sub.mls,0,0,120.01,80168
testcases/ref_new/expr_div.mls,0,0,120.02,121844
testcases/ref_new/list_dropeven.mls,28,6,0.43,18568
testcases/ref_new/list_last2.mls,40,7,0.78,18956
testcases/ref_new/list_make.mls,14,3,0.02,16376
testcases/ref_new/list_range.mls,60,7,1.09,29112
testcases/ref_new/nat_mul.mls,27,6,1.29,36288
testcases/ref_new/nat_sub.mls,29,6,0.25,35260
testcases/ref_new/tree_balanced.mls,0,0,120,22068
testcases/ref_new/tree_height.mls,23,6,8.93,30808
testcases/ref_new/tree_lastleft.mls,21,6,8.26,24224
testcases/ref_new/tree_notexist.mls,0,0,120.02,29008
testcases/ref_new/tree_sum.mls,28,5,8.97,27212
