file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.52,14280
testcases/ref/bool_always_true.mls,4,0,0.02,14140
testcases/ref/bool_band.mls,14,3,0.02,15932
testcases/ref/bool_bor.mls,14,3,0.02,15952
testcases/ref/bool_impl.mls,13,2,0.02,15612
testcases/ref/bool_neg.mls,8,2,0.02,14536
testcases/ref/bool_xor.mls,20,3,0.02,16000
testcases/ref/list_append.mls,31,6,0.52,19712
testcases/ref/list_compress.mls,56,10,1.11,19724
testcases/ref/list_concat.mls,19,5,1.20,19208
testcases/ref/list_drop.mls,31,5,0.48,19072
testcases/ref/list_even_parity.mls,25,5,0.12,17064
testcases/ref/list_filter.mls,56,8,1.02,19152
testcases/ref/list_fold.mls,42,6,1.05,19708
testcases/ref/list_hd.mls,10,2,0.24,18292
testcases/ref/list_inc.mls,18,4,0.50,18668
testcases/ref/list_last.mls,22,4,0.37,18372
testcases/ref/list_length.mls,13,4,0.38,18388
testcases/ref/list_map.mls,37,6,0.72,19104
testcases/ref/list_nth.mls,33,6,0.41,19664
testcases/ref/list_pairwise_swap.mls,38,7,0.41,18760
testcases/ref/list_rev_append.mls,22,5,0.96,19576
testcases/ref/list_rev_fold.mls,10,3,0.72,18716
testcases/ref/list_rev_snoc.mls,18,5,1.02,19420
testcases/ref/list_rev_tailcall.mls,120.00,36280
testcases/ref/list_snoc.mls,36,3,0.36,18048
testcases/ref/list_sort_sorted_insert.mls,18,6,1.32,20192
testcases/ref/list_sorted_insert.mls,60,6,0.71,19684
testcases/ref/list_stutter.mls,23,3,0.33,18784
testcases/ref/list_sum.mls,10,2,0.71,18680
testcases/ref/list_take.mls,38,8,0.32,19640
testcases/ref/list_tl.mls,9,2,0.17,18324
testcases/ref/nat_add.mls,22,5,0.14,28140
testcases/ref/nat_iseven.mls,16,4,0.02,15952
testcases/ref/nat_max.mls,23,5,0.23,36176
testcases/ref/nat_pred.mls,7,2,0.02,15904
testcases/ref/tree_binsert.mls,87,6,6.59,29056
testcases/ref/tree_collect_leaves.mls,27,4,5.35,18476
testcases/ref/tree_count_leaves.mls,22,4,5.34,17968
testcases/ref/tree_count_nodes.mls,22,4,5.36,17972
testcases/ref/tree_inorder.mls,27,4,7.69,19112
testcases/ref/tree_map.mls,49,6,5.78,23036
testcases/ref/tree_nodes_at_level.mls,47,7,4.02,20324
testcases/ref/tree_postorder.mls,32,6,9.47,21184
testcases/ref/tree_preorder.mls,27,6,8.92,21160
testcases/ref_new/expr_b.mls,59,13,42.95,67044
testcases/ref_new/expr.mls,36,9,4.41,39472
testcases/ref_new/expr_sub.mls,51,12,62.76,52216
testcases/ref_new/expr_div.mls,120.01,82440
testcases/ref_new/list_dropeven.mls,28,6,0.35,18512
testcases/ref_new/list_last2.mls,40,7,0.66,19040
testcases/ref_new/list_make.mls,14,3,0.02,16376
testcases/ref_new/list_range.mls,49,7,0.37,29648
testcases/ref_new/nat_mul.mls,27,6,0.94,36252
testcases/ref_new/nat_sub.mls,29,6,0.25,35260
testcases/ref_new/tree_balanced.mls,120.00,71228
testcases/ref_new/tree_height.mls,23,6,9.62,30816
testcases/ref_new/tree_lastleft.mls,21,6,8.49,23452
testcases/ref_new/tree_notexist.mls,79,8,7.78,24284
testcases/ref_new/tree_sum.mls,28,5,9.78,27192
