file,size,iter,time,mem
testcases/ref_example/bool_always_false.mls,4,0,0.16,14272
testcases/ref_example/bool_always_true.mls,4,0,0.01,14232
testcases/ref_example/bool_band.mls,14,0,0.02,15924
testcases/ref_example/bool_bor.mls,14,0,0.02,15900
testcases/ref_example/bool_impl.mls,13,0,0.02,15888
testcases/ref_example/bool_neg.mls,8,0,0.02,14440
testcases/ref_example/bool_xor.mls,0.02,16032
testcases/ref_example/list_append.mls,31,1,0.40,22020
testcases/ref_example/list_compress.mls,0.13,26148
testcases/ref_example/list_concat.mls,19,1,1.02,19564
testcases/ref_example/list_drop.mls,31,0,0.33,20388
testcases/ref_example/list_even_parity.mls,0.05,18172
testcases/ref_example/list_filter.mls,56,5,1.30,22024
testcases/ref_example/list_fold.mls,42,5,4.13,36312
testcases/ref_example/list_hd.mls,10,0,0.17,18084
testcases/ref_example/list_inc.mls,18,0,0.39,18680
testcases/ref_example/list_last.mls,22,0,0.32,18492
testcases/ref_example/list_length.mls,13,0,0.31,18564
testcases/ref_example/list_map.mls,37,0,0.55,18780
testcases/ref_example/list_nth.mls,33,0,0.33,19076
testcases/ref_example/list_pairwise_swap.mls,15.40,29100
testcases/ref_example/list_rev_append.mls,22,2,1.10,19692
testcases/ref_example/list_rev_fold.mls,10,0,0.60,18764
testcases/ref_example/list_rev_snoc.mls,18,0,0.76,19476
testcases/ref_example/list_rev_tailcall.mls,120.01,61956
testcases/ref_example/list_snoc.mls,36,0,0.34,18528
testcases/ref_example/list_sort_sorted_insert.mls,18,0,1.17,19732
testcases/ref_example/list_sorted_insert.mls,60,0,0.66,22024
testcases/ref_example/list_stutter.mls,23,0,0.33,18492
testcases/ref_example/list_sum.mls,10,0,0.66,18688
testcases/ref_example/list_take.mls,38,0,0.32,18040
testcases/ref_example/list_tl.mls,9,0,0.16,18260
testcases/ref_example/nat_add.mls,22,0,0.13,35708
testcases/ref_example/nat_iseven.mls,16,0,0.02,15924
testcases/ref_example/nat_max.mls,23,0,0.18,36176
testcases/ref_example/nat_pred.mls,7,0,0.02,15912
testcases/ref_example/tree_binsert.mls,120.02,146020
testcases/ref_example/tree_collect_leaves.mls,27,0,5.32,17964
testcases/ref_example/tree_count_leaves.mls,22,0,5.46,17956
testcases/ref_example/tree_count_nodes.mls,22,0,7.63,30948
testcases/ref_example/tree_inorder.mls,27,0,7.83,20396
testcases/ref_example/tree_map.mls,49,0,5.65,21116
testcases/ref_example/tree_nodes_at_level.mls,47,0,4.57,25556
testcases/ref_example/tree_postorder.mls,32,0,8.43,31208
testcases/ref_example/tree_preorder.mls,27,0,7.94,20376
testcases/ref_example_new/expr_b.mls,119.98,100812
testcases/ref_example_new/expr.mls,36,0,1.71,39420
testcases/ref_example_new/expr_sub.mls,51,0,14.88,47460
testcases/ref_example_new/expr_div.mls,120.01,100788
testcases/ref_example_new/list_dropeven.mls,28,1,0.32,18200
testcases/ref_example_new/list_last2.mls,40,0,0.47,19072
testcases/ref_example_new/list_make.mls,14,0,0.02,16568
testcases/ref_example_new/list_range.mls,49,1,0.49,35512
testcases/ref_example_new/nat_mod.mls,120.01,52068
testcases/ref_example_new/nat_mul.mls,27,0,1.41,39448
testcases/ref_example_new/nat_sub.mls,29,0,0.13,36172
testcases/ref_example_new/tree_balanced.mls,120.01,71320
testcases/ref_example_new/tree_height.mls,120.01,57680
testcases/ref_example_new/tree_lastleft.mls,21,0,7.23,29832
testcases/ref_example_new/tree_max.mls,120.00,39212
testcases/ref_example_new/tree_notexist.mls,79,0,6.27,25592
