file,size,iter,time,mem
testcases/new_ref/expr_b.mls,1.13,42828
testcases/new_ref/expr.mls,0.28,39040
testcases/new_ref/expr_sub.mls,0.99,42212
testcases/new_ref/expr_div.mls,2.78,47384
testcases/new_ref/list_dropeven.mls,30,8,0.53,18824
testcases/new_ref/list_last2.mls,40,7,0.52,18812
testcases/new_ref/list_make.mls,14,3,0.02,16332
testcases/new_ref/list_range.mls,49,7,0.30,29892
testcases/new_ref/nat_mod.mls,0.14,24060
testcases/new_ref/nat_mul.mls,27,6,0.76,36172
testcases/new_ref/nat_sub.mls,29,6,0.22,35204
testcases/new_ref/tree_balanced.mls,25,4,8.42,19056
testcases/new_ref/tree_height.mls,34,12,45.22,39464
testcases/new_ref/tree_lastleft.mls,21,6,8.13,23428
testcases/new_ref/tree_max.mls,4,1,8.39,17968
testcases/new_ref/tree_notexist.mls,79,8,7.29,23088
