file,nodes,pgm
testcases/basic/bool_always_false.mls,0,0
testcases/basic/bool_always_true.mls,0,0
testcases/basic/bool_band.mls,75,66
testcases/basic/bool_bor.mls,75,66
testcases/basic/bool_impl.mls,66,57
testcases/basic/bool_neg.mls,8,4
testcases/basic/bool_xor.mls,88,76
testcases/basic/list_append.mls,764,1334487
testcases/basic/list_compress.mls,1166,226388
testcases/basic/list_concat.mls,2458,2464171
testcases/basic/list_drop.mls,413,4340
testcases/basic/list_even_parity.mls,407,302
testcases/basic/list_filter.mls,299,6864
testcases/basic/list_fold.mls,4865,282755
testcases/basic/list_hd.mls,123,82
testcases/basic/list_inc.mls,252,8864
testcases/basic/list_last.mls,322,206
testcases/basic/list_length.mls,101,65
testcases/basic/list_map.mls,1609,330611914
testcases/basic/list_nth.mls,686,580
testcases/basic/list_pairwise_swap.mls,385,1073483
testcases/basic/list_rev_append.mls,2469,69053105
testcases/basic/list_rev_fold.mls,26,21
testcases/basic/list_rev_snoc.mls,1076,1158988
testcases/basic/list_rev_tailcall.mls,216,5657
testcases/basic/list_snoc.mls,580,173250289
testcases/basic/list_sort_sorted_insert.mls,1720,2724362
testcases/basic/list_sorted_insert.mls,1500,5579191
testcases/basic/list_stutter.mls,170,1546057
testcases/basic/list_sum.mls,14,5
testcases/basic/list_take.mls,388,15595
testcases/basic/list_tl.mls,144,514
testcases/basic/nat_add.mls,1634,1498
testcases/basic/nat_iseven.mls,16,8
testcases/basic/nat_max.mls,1936,1777
testcases/basic/nat_pred.mls,46,20
testcases/basic/tree_binsert.mls,13080,626670552673415
testcases/basic/tree_collect_leaves.mls,1442,581179
testcases/basic/tree_count_leaves.mls,652,190
testcases/basic/tree_count_nodes.mls,5666,158426
testcases/basic/tree_inorder.mls,3661,19407050
testcases/basic/tree_map.mls,3760,38007150289616
testcases/basic/tree_nodes_at_level.mls,17092,112446
testcases/basic/tree_postorder.mls,35060,227884302746
testcases/basic/tree_preorder.mls,3142,17206486
testcases/new//expr_b.mls,18113,691786
testcases/new//expr.mls,4957,3651
testcases/new//expr_sub.mls,11711,44836
testcases/new//expr_div.mls,,
testcases/new//list_dropeven.mls,269,1841
testcases/new//list_last2.mls,683,16300
testcases/new//list_make.mls,302,298225
testcases/new//list_range.mls,3483,27560159196
testcases/new//nat_mul.mls,57167,74083956
testcases/new//nat_sub.mls,2010,1833
testcases/new//tree_balanced.mls,24,12
testcases/new//tree_height.mls,11903,161289
testcases/new//tree_lastleft.mls,472,391
testcases/new//tree_notexist.mls,324,120
testcases/new//tree_sum.mls,10656,3774140
