Test,Trio_Time,Trio_Size,Burst_Time,Burst_Size,Smyth_Time,Smyth_Size
bool_always_false,0.56,4,0.02,4,0.02,4
bool_always_true,0.02,4,0.02,4,0.02,4
bool_band,0.02,14,0.02,14,0.02,23
bool_bor,0.02,14,0.02,14,0.02,23
bool_impl,0.02,13,0.02,13,0.02,23
bool_neg,0.02,8,0.02,8,0.02,8
bool_xor,0.02,20,0.02,20,0.02,27
list_append,0.05,44,0.17,31,0.02,33
list_compress,0.16,56,0.93,58,120,N/A
list_concat,0.05,19,0.03,19,0.02,17
list_drop,0.05,31,2.25,24,0.04,32
list_even_parity,0.04,25,0.06,23,0.04,22
list_filter,0.06,47,0.34,46,0.09,44
list_fold,0.11,41,0.14,43,1.78,49
list_hd,0.03,10,0.02,10,0.02,9
list_inc,0.05,18,0.03,18,0.03,12
list_last,0.04,22,0.03,22,0.02,19
list_length,0.03,13,0.02,13,0.02,12
list_map,0.05,37,0.03,37,0.45,51
list_nth,0.05,33,2.42,33,0.05,34
list_pairwise_swap,0.05,38,0.35,38,0.02,27
list_rev_append,0.10,35,1.22,22,0.08,20
list_rev_fold,0.02,10,0.04,10,0.04,15
list_rev_snoc,0.05,18,1.67,18,0.02,16
list_rev_tailcall,0.03,37,0.20,43,0.02,33
list_snoc,0.05,36,2.43,36,0.05,37
list_sort_sorted_insert,0.06,18,0.09,18,0.03,16
list_sorted_insert,0.16,60,120,N/A,1.53,55
list_stutter,0.03,23,4.73,23,0.02,21
list_sum,0.03,10,0.09,10,0.04,10
list_take,0.05,38,120,N/A,0.03,38
list_tl,0.03,9,0.02,9,0.02,9
nat_add,0.11,22,0.04,22,0.02,27
nat_iseven,0.02,16,0.03,16,0.02,13
nat_max,0.19,23,0.21,23,0.07,34
nat_pred,0.02,7,0.02,7,0.02,7
tree_binsert,0.73,87,2.92,87,120,N/A
tree_collect_leaves,0.07,27,0.53,27,0.05,24
tree_count_leaves,0.07,22,0.21,22,0.53,25
tree_count_nodes,0.19,22,0.08,22,0.19,20
tree_inorder,0.15,27,8.85,27,0.07,24
tree_map,0.08,49,0.42,49,0.91,61
tree_nodes_at_level,0.36,47,39.35,47,120,N/A
tree_postorder,0.54,32,4.14,32,120,N/A
tree_preorder,0.14,27,0.12,27,0.11,24
expr_boolean,17.39,59,0.66,52,120,N/A
expr,0.91,36,120,N/A,120,N/A
expr_sub,15.93,51,120,N/A,12.81,58
expr_div,120,N/A,120,N/A,120,N/A
list_dropeven,0.04,28,120,N/A,0.04,25
list_last2,0.04,40,0.10,39,0.08,29
list_make,0.03,14,0.85,14,0.02,13
list_range,0.23,60,120,N/A,120,N/A
nat_mul,1.37,27,120,N/A,120,N/A
nat_sub,0.11,29,9.14,29,0.05,30
tree_balanced,86.10,45,51.21,44,120,N/A
tree_height,5.45,36,120,N/A,119.50,29
tree_lastleft,0.28,21,0.03,21,0.04,18
tree_notexist,0.52,79,1.04,79,120,N/A
tree_sum,0.59,28,41.71,28,0.54,25
