+ -------------------------------------------------------------------------------------------------------------------------------------------------- +
| Test                    | Trio_Time | Trio_Size | Trio_Correct | Burst_Time | Burst_Size | Burst_Correct | Smyth_Time | Smyth_Size | Smyth_Correct |
+ -------------------------------------------------------------------------------------------------------------------------------------------------- +
| bool_always_false       | 0.56      | 4         | correct      | 0.02       | 4          | correct       | 0.02       | 4          | incorrect     |
| bool_always_true        | 0.02      | 4         | correct      | 0.02       | 4          | correct       | 0.02       | 4          | incorrect     |
| bool_band               | 0.02      | 14        | incorrect    | 0.02       | 14         | incorrect     | 0.02       | 23         | incorrect     |
| bool_bor                | 0.02      | 14        | incorrect    | 0.02       | 14         | incorrect     | 0.02       | 23         | incorrect     |
| bool_impl               | 0.02      | 13        | incorrect    | 0.02       | 13         | incorrect     | 0.02       | 23         | incorrect     |
| bool_neg                | 0.02      | 8         | correct      | 0.02       | 8          | correct       | 0.02       | 8          | incorrect     |
| bool_xor                | 0.02      | 20        | incorrect    | 0.02       | 20         | incorrect     | 0.02       | 27         | incorrect     |
| list_append             | 0.05      | 44        | incorrect    | 0.17       | 31         | incorrect     | 0.02       | 33         | incorrect     |
| list_compress           | 0.16      | 56        | correct      | 0.93       | 58         | correct       | 120        | N/A        | N/A           |
| list_concat             | 0.05      | 19        | incorrect    | 0.03       | 19         | correct       | 0.02       | 17         | incorrect     |
| list_drop               | 0.05      | 31        | incorrect    | 2.25       | 24         | incorrect     | 0.04       | 32         | incorrect     |
| list_even_parity        | 0.04      | 25        | correct      | 0.06       | 23         | correct       | 0.04       | 22         | incorrect     |
| list_filter             | 0.06      | 47        | incorrect    | 0.34       | 46         | incorrect     | 0.09       | 44         | incorrect     |
| list_fold               | 0.11      | 41        | incorrect    | 0.14       | 43         | incorrect     | 1.78       | 49         | incorrect     |
| list_hd                 | 0.03      | 10        | correct      | 0.02       | 10         | correct       | 0.02       | 9          | incorrect     |
| list_inc                | 0.05      | 18        | correct      | 0.03       | 18         | correct       | 0.03       | 12         | incorrect     |
| list_last               | 0.04      | 22        | correct      | 0.03       | 22         | correct       | 0.02       | 19         | incorrect     |
| list_length             | 0.03      | 13        | correct      | 0.02       | 13         | correct       | 0.02       | 12         | incorrect     |
| list_map                | 0.05      | 37        | incorrect    | 0.03       | 37         | incorrect     | 0.45       | 51         | incorrect     |
