+ ----------------------------------------------------------------------------------------------------------------------------------------- +
| Test                    | Trio_Time | Trio_Size | Trio_Iter | Burst_Time | Burst_Size | Burst_Iter | Smyth_Time | Smyth_Size | Smyth_Iter |
+ ----------------------------------------------------------------------------------------------------------------------------------------- +
| bool_always_false       | 0.02      | 4         | 1         | 0.01       | 4          | 0          | 0.02       | 4          | 0          |
| bool_always_true        | 0.02      | 4         | 0         | 0.02       | 4          | 1          | 0.02       | 4          | 1          |
| bool_band               | 0.02      | 14        | 3         | 0.02       | 14         | 3          | 0.02       | 23         | 3          |
| bool_bor                | 0.02      | 14        | 3         | 0.02       | 14         | 4          | 0.03       | 23         | 4          |
| bool_impl               | 0.02      | 13        | 2         | 0.02       | 13         | 3          | 0.02       | 23         | 3          |
| bool_neg                | 0.02      | 8         | 2         | 0.01       | 8          | 2          | 0.02       | 8          | 2          |
| bool_xor                | 0.02      | 20        | 3         | 0.02       | 20         | 3          | 0.03       | 27         | 4          |
| list_append             | 0.43      | 31        | 6         | 0.43       | 31         | 7          | 0.48       | 33         | 8          |
| list_compress           | 1.63      | 56        | 10        | 1.45       | 56         | 9          | 120        | N/A        | N/A        |
| list_concat             | 1.08      | 19        | 5         | 0.99       | 19         | 4          | 1.06       | 17         | 4          |
| list_drop               | 0.40      | 31        | 5         | 1.17       | 31         | 6          | 120        | N/A        | N/A        |
| list_even_parity        | 0.12      | 25        | 5         | 0.13       | 23         | 6          | 0.16       | 22         | 6          |
| list_filter             | 0.83      | 56        | 8         | 1.00       | 56         | 8          | 120        | N/A        | N/A        |
| list_fold               | 1.14      | 42        | 6         | 10.55      | 42         | 6          | 120        | N/A        | N/A        |
| list_hd                 | 0.21      | 10        | 2         | 0.19       | 10         | 2          | 0.20       | 9          | 2          |
| list_inc                | 0.43      | 18        | 4         | 0.40       | 18         | 3          | 0.56       | 12         | 2          |
| list_last               | 0.35      | 22        | 4         | 0.33       | 22         | 3          | 0.45       | 19         | 5          |
| list_length             | 0.32      | 13        | 4         | 0.33       | 13         | 4          | 0.34       | 12         | 3          |
| list_map                | 0.63      | 37        | 6         | 0.62       | 37         | 4          | 120        | N/A        | N/A        |
| list_nth                | 0.37      | 33        | 6         | 0.40       | 33         | 7          | 0.47       | 34         | 5          |
| list_pairwise_swap      | 0.41      | 38        | 7         | 0.40       | 38         | 6          | 120        | N/A        | N/A        |
| list_rev_append         | 1.67      | 22        | 5         | 12.13      | 22         | 5          | 120        | N/A        | N/A        |
| list_rev_fold           | 0.71      | 10        | 3         | 0.74       | 10         | 2          | 120        | N/A        | N/A        |
| list_rev_snoc           | 1.16      | 18        | 5         | 6.26       | 18         | 4          | 120        | N/A        | N/A        |
| list_rev_tailcall       | 120       | N/A       | N/A       | 120        | N/A        | N/A        | 0.52       | 33         | 9          |
| list_snoc               | 0.41      | 36        | 3         | 0.45       | 36         | 3          | 0.50       | 36         | 7          |
| list_sort_sorted_insert | 1.94      | 18        | 6         | 1.65       | 18         | 5          | 1.49       | 16         | 6          |
| list_sorted_insert      | 0.86      | 60        | 6         | 1.11       | 60         | 6          | 12.89      | 69         | 12         |
| list_stutter            | 0.42      | 23        | 3         | 1.17       | 23         | 3          | 0.43       | 21         | 4          |
| list_sum                | 0.79      | 10        | 2         | 0.77       | 10         | 2          | 0.78       | 10         | 2          |
| list_take               | 0.36      | 38        | 8         | 14.96      | 38         | 9          | 0.47       | 38         | 7          |
| list_tl                 | 0.19      | 9         | 2         | 0.20       | 9          | 2          | 0.20       | 9          | 2          |
| nat_add                 | 0.13      | 22        | 5         | 0.07       | 22         | 6          | 0.08       | 27         | 6          |
| nat_iseven              | 0.02      | 16        | 4         | 0.02       | 16         | 4          | 0.03       | 13         | 4          |
| nat_max                 | 0.27      | 23        | 5         | 2.01       | 23         | 5          | 0.15       | 34         | 7          |
| nat_pred                | 0.02      | 7         | 2         | 0.02       | 7          | 2          | 0.02       | 7          | 2          |
| tree_binsert            | 14.93     | 87        | 6         | 17.11      | 87         | 8          | 120        | N/A        | N/A        |
| tree_collect_leaves     | 6.06      | 27        | 4         | 6.97       | 27         | 5          | 5.95       | 24         | 5          |
| tree_count_leaves       | 6.34      | 22        | 4         | 6.53       | 22         | 4          | 6.54       | 25         | 4          |
| tree_count_nodes        | 6.13      | 22        | 4         | 5.95       | 22         | 4          | 6.00       | 20         | 4          |
| tree_inorder            | 8.79      | 27        | 4         | 10.02      | 27         | 5          | 8.96       | 24         | 6          |
