Test,Trio_Time,Trio_Size,Trio_Iter,Burst_Time,Burst_Size,Burst_Iter,Smyth_Time,Smyth_Size,Smyth_Iter
bool_always_false,0.02,4,1,0.02,4,0,0.02,4,0
bool_always_true,0.02,4,0,0.02,4,1,0.02,4,1
bool_band,0.02,14,3,0.02,14,3,0.04,23,3
bool_bor,0.02,14,3,0.02,14,4,0.03,23,4
bool_impl,0.02,13,2,0.02,13,3,0.02,23,3
bool_neg,0.03,8,2,0.02,8,2,0.02,8,2
bool_xor,0.02,20,3,0.02,20,3,0.03,27,4
list_append,0.45,31,6,0.48,31,7,0.58,33,8
list_compress,1.33,56,10,1.55,56,9,120,N/A,N/A
list_concat,1.17,19,5,1.02,19,4,1.13,17,4
list_drop,0.38,31,5,1.49,31,6,120,N/A,N/A
list_even_parity,0.12,25,5,0.13,23,6,0.17,22,6
list_filter,0.83,56,8,1.18,56,8,120,N/A,N/A
list_fold,0.84,42,6,12.77,42,6,120,N/A,N/A
list_hd,0.19,10,2,0.21,10,2,0.20,9,2
list_inc,0.41,18,4,0.40,18,3,0.60,12,2
list_last,0.33,22,4,0.39,22,3,0.50,19,5
list_length,0.32,13,4,0.35,13,4,0.39,12,3
list_map,0.61,37,6,0.74,37,4,120,N/A,N/A
list_nth,0.37,33,6,0.42,33,7,0.51,34,5
list_pairwise_swap,0.39,38,7,0.48,38,6,120,N/A,N/A
list_rev_append,0.94,22,5,13.96,22,5,120,N/A,N/A
list_rev_fold,0.69,10,3,0.83,10,2,120,N/A,N/A
list_rev_snoc,0.87,18,5,8.20,18,4,120,N/A,N/A
list_rev_tailcall,120,N/A,N/A,120,N/A,N/A,0.51,33,9
list_snoc,0.41,36,3,0.56,36,3,0.57,36,7
list_sort_sorted_insert,1.45,18,6,1.87,18,5,1.53,16,6
list_sorted_insert,0.79,60,6,1.27,60,6,13.37,69,12
list_stutter,0.39,23,3,1.17,23,3,0.55,21,4
list_sum,0.89,10,2,0.88,10,2,0.84,10,2
list_take,0.44,38,8,18.00,38,9,0.54,38,7
list_tl,0.24,9,2,0.22,9,2,0.20,9,2
nat_add,0.14,22,5,0.09,22,6,0.07,27,6
nat_iseven,0.02,16,4,0.03,16,4,0.02,13,4
nat_max,0.31,23,5,2.70,23,5,0.15,34,7
nat_pred,0.02,7,2,0.02,7,2,0.08,7,2
tree_binsert,8.53,87,6,29.30,87,9,120,N/A,N/A
tree_collect_leaves,6.07,27,4,7.54,27,5,6.36,24,5
tree_count_leaves,6.77,22,4,7.66,22,4,6.65,25,4
tree_count_nodes,6.66,22,4,6.30,22,4,6.40,20,4
tree_inorder,9.39,27,4,10.70,27,5,9.04,24,6
tree_map,6.63,49,6,7.43,49,5,120,N/A,N/A
tree_nodes_at_level,4.51,47,7,120,N/A,N/A,25.96,43,5
tree_postorder,9.55,32,6,21.97,32,8,120,N/A,N/A
tree_preorder,9.92,27,6,11.34,27,4,10.57,24,5
expr_boolean,50.90,59,13,9.87,59,21,120,N/A,N/A
expr,5.54,36,9,120,N/A,N/A,120,N/A,N/A
expr_sub,67.10,51,12,120,N/A,N/A,120,N/A,N/A
expr_div,120,N/A,N/A,120,N/A,N/A,120,N/A,N/A
list_dropeven,0.41,28,6,0.41,28,6,120,N/A,N/A
list_last2,0.63,40,7,2.10,39,5,0.95,29,6
list_make,0.02,14,3,0.03,14,3,0.02,13,3
list_range,0.38,49,7,120,N/A,N/A,120,N/A,N/A
nat_mul,1.12,27,6,88.60,27,8,9.88,31,7
nat_sub,0.24,29,6,1.34,29,7,120,N/A,N/A
tree_balanced,120,N/A,N/A,120,N/A,N/A,120,N/A,N/A
tree_height,10.34,23,6,9.72,22,6,11.62,20,5
tree_lastleft,9.38,21,6,9.91,21,4,9.89,18,5
tree_notexist,8.28,79,8,22.32,79,10,120,N/A,N/A
tree_sum,10.37,28,5,13.25,28,5,9.81,25,5
